county,precinct,office,district,party,candidate,votes,absentee,election_day_2,election_day,early_vote,provisional
Yell,Ferguson,U.S. President,,DEM,Michael Bennet,1,0,0,0,1,0
Yell,Galla Rock,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Gilkey,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Gravelly,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Herring,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Lamar,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Magazine 1,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Magazine 2,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Mason,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Mountain,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Prairie,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Richland,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Waveland,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Riley,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Rover,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Ward,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Ions Creek,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Yell,Bluffton,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Yell,Briggsville,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Yell,Centerville,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Yell,Compton,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Yell,Crawford,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Yell,Danville,U.S. President,,DEM,Kamala Harris,1,0,0,0,1,0
Yell,Dardanelle Outside,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
